127.0.0.1 - - [06/Apr/2023:09:10:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:10:10 +0530] "GET /Adv_Java_Crud/Login.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:18 +0530] "POST /Adv_Java_Crud/AuthenticationController HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:19 +0530] "POST /Adv_Java_Crud/AuthenticationController HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:37 +0530] "POST /Adv_Java_Crud/AuthenticationController HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:40 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:48 +0530] "GET /Adv_Java_Crud/EditUserController?id=2 HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:55 +0530] "POST /Adv_Java_Crud/EditUserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:55 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:11:59 +0530] "GET /Adv_Java_Crud/ViewUserController?id=2 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:12:18 +0530] "GET /Adv_Java_Crud/Search.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:12:23 +0530] "POST /Adv_Java_Crud/SearchController HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:33 +0530] "GET /Adv_Java_Crud/EditUserController?id=1 HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:38 +0530] "POST /Adv_Java_Crud/EditUserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:38 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:41 +0530] "GET /Adv_Java_Crud/DeleteUserController?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:41 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:44 +0530] "GET /Adv_Java_Crud/ViewUserController?id=7 HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:49 +0530] "GET /Adv_Java_Crud/Search.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:13:55 +0530] "POST /Adv_Java_Crud/SearchController HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:20:07 +0530] "POST /Adv_Java_Crud/SearchController HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:20:14 +0530] "GET /Adv_Java_Crud/ViewUserController?id=1 HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:20:16 +0530] "GET /Adv_Java_Crud/ListUser.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:21:55 +0530] "GET /Adv_Java_Crud/ViewUserController?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:21:55 +0530] "GET /Adv_Java_Crud/ListUser.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:21:59 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:21:59 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:21:59 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:21:59 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:01 +0530] "GET /Adv_Java_Crud/ViewUserController?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:01 +0530] "GET /Adv_Java_Crud/ListUser.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:12 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:13 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:15 +0530] "GET /Adv_Java_Crud/EditUserController?id=1 HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:17 +0530] "POST /Adv_Java_Crud/EditUserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:17 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:21 +0530] "GET /Adv_Java_Crud/ViewUserController?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:21 +0530] "GET /Adv_Java_Crud/ListUser.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:42 +0530] "GET /Adv_Java_Crud/EditUserController?id=1 HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:43 +0530] "POST /Adv_Java_Crud/EditUserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:44 +0530] "GET /Adv_Java_Crud/ListUsersController HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [06/Apr/2023:09:22:46 +0530] "GET /Adv_Java_Crud/ViewUserController?id=1 HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [06/Apr/2023:12:18:21 +0530] "GET /Adv_Java_Crud/ViewUserController?id=1 HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [06/Apr/2023:12:18:32 +0530] "GET /Adv_Java_Crud/ViewUserController?id=3 HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Apr/2023:12:21:06 +0530] "GET /Adv_Java_Crud/Search.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [06/Apr/2023:12:21:15 +0530] "POST /Adv_Java_Crud/SearchController HTTP/1.1" 200 1282
